City_ID,city,Lat,Lng,Max Temp,Cloudiness,Humidity,Wind Speed,Country,Date
142,salalah,41.3712,-73.414,83.25,35.0,70.0,4.14,US,1623025105.0
143,tuktoyaktuk,10.0404,-10.7434,76.19,21.0,75.0,7.61,GN,1623025172.0
144,banmo,29.1614,16.139,78.08,0.0,23.0,9.24,LY,1623025172.0
145,westport,34.7833,133.6167,78.06,86.0,65.0,3.22,JP,1623025172.0
146,finschhafen,71.2906,-156.7887,32.02,90.0,86.0,13.8,US,1623025172.0
147,umzimvubu,66.8333,70.8333,36.32,58.0,78.0,10.04,RU,1623025173.0
148,wuwei,60.9167,-46.05,53.82,100.0,71.0,3.49,GL,1623025173.0
149,baruun-urt,20.1986,1.0114,93.78,40.0,13.0,8.86,ML,1623025173.0
150,college,57.79,-152.4072,65.71,1.0,30.0,12.66,US,1623025130.0
151,fortuna,2.8197,-60.6733,84.18,40.0,74.0,3.44,BR,1623025066.0
152,shihezi,1.6136,16.0517,69.82,87.0,93.0,2.59,CG,1623025173.0
153,chingola,-25.2406,130.9889,53.44,33.0,54.0,4.61,AU,1623025174.0
154,kaniama,11.7751,-72.4445,81.68,100.0,71.0,19.62,CO,1623025174.0
155,bethel,4.1363,96.1285,74.53,100.0,86.0,4.34,ID,1623025174.0
156,faranah,60.4997,43.5761,55.24,91.0,94.0,7.2,RU,1623025174.0
157,waddan,-14.25,129.55,75.09,35.0,33.0,7.34,AU,1623025175.0
158,takahashi,-10.8764,26.5969,56.01,86.0,66.0,6.93,CD,1623025175.0
159,barrow,-7.4846,108.7923,75.83,43.0,94.0,0.89,ID,1623025175.0
160,yar-sale,40.5614,65.6886,75.29,13.0,20.0,6.24,UZ,1623025175.0
161,duz,47.6666,-52.7314,41.29,90.0,92.0,12.66,CA,1623025176.0
162,narsaq,28.5833,65.4167,84.7,0.0,44.0,5.41,PK,1623025034.0
163,tessalit,-3.2778,-39.2689,77.34,12.0,87.0,6.64,BR,1623025047.0
164,kodiak,64.4803,76.6897,41.74,11.0,61.0,11.39,RU,1623025176.0
165,boa vista,64.8378,-147.7164,66.09,40.0,52.0,5.75,US,1623024932.0
166,ouesso,8.0434,-77.0945,77.45,100.0,96.0,1.9,CO,1623025176.0
167,yulara,6.1333,102.2386,78.8,20.0,89.0,3.44,MY,1623025177.0
168,manaure,53.6039,91.3903,51.69,0.0,82.0,5.77,RU,1623025177.0
169,samusu,-6.2132,155.5367,84.52,74.0,72.0,4.61,PG,1623025177.0
170,meulaboh,-22.0016,148.0466,65.05,5.0,55.0,13.67,AU,1623025177.0
171,tarnogskiy gorodok,58.965,-3.296,52.05,96.0,75.0,6.55,GB,1623025177.0
172,chagda,68.0546,166.4372,68.52,5.0,35.0,8.28,RU,1623025178.0
173,port keats,69.2167,-51.1,35.62,75.0,93.0,0.0,GL,1623025178.0
174,kambove,68.75,161.3,69.48,89.0,34.0,19.53,RU,1623025178.0
175,sidareja,38.5167,-28.7,64.99,100.0,88.0,8.39,PT,1623025178.0
176,nurota,16.8634,-99.8901,87.62,75.0,70.0,9.93,MX,1623025179.0
177,torbay,-51.6226,-69.2181,41.05,40.0,65.0,12.66,AR,1623025179.0
178,kharan,39.2048,-84.428,79.75,75.0,86.0,6.53,US,1623025179.0
179,trairi,-33.0153,27.9116,62.35,0.0,38.0,9.69,ZA,1623025179.0
180,purpe,-34.6534,-58.6198,53.98,99.0,87.0,1.99,AR,1623024966.0
181,fairbanks,61.5598,45.934,54.46,98.0,81.0,7.63,RU,1623025180.0
182,unguia,22.5667,59.5289,83.75,1.0,77.0,8.03,OM,1623025180.0
183,kota bahru,-28.5708,-70.7581,58.55,0.0,69.0,2.35,CL,1623025180.0
184,belyy yar,38.7333,-27.0667,64.76,40.0,94.0,4.59,PT,1623025180.0
